,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille
29,uni15_2_3000.0,uni,3.8855839879030287,1.885589408493723,1.476495453583997,1.7158782381459563,3.9064181527920456,0.45612550391841655,0.37464188683121186,0.3417698150934676,15
30,uni15_3_100.0,uni,3.869130253557086,3.0114223628619867,3.0039458634957454,0.04613505914672087,,0.4518196137226532,0.40398548726881245,0.29516892131957134,15
31,uni15_3_870.0,uni,3.813768456408539,2.6458363910483538,2.4175692811511924,0.44026482689097357,0.7349680741977372,0.35267402948700244,0.18322447315153867,0.32682185191022606,15
32,uni15_3_1630.0,uni,3.8812821309270022,3.1768667237003636,3.228658980610049,0.8764504423087827,3.0384924776522606,0.5201714543192327,0.5388754579538162,0.316517047848716,15
33,uni15_3_2400.0,uni,3.8426160816819928,3.0930670375977405,2.929969956922185,1.414460744566896,3.8522767825092594,0.5170820072852095,0.4821853844823525,0.3026412420636125,15
34,uni15_3_3170.0,uni,3.8942309068758147,3.3592850638027083,3.5342080165784533,2.208559478772339,3.899116509671386,0.5630697642692736,0.59150127128751,0.3589733269676161,15
35,uni15_3_3930.0,uni,3.855196450031116,2.9000511516167267,3.1739492651510455,1.9566119025552642,3.899515829042377,0.5099286292977163,0.5487751133134636,0.2775027984561496,15
36,uni15_3_4700.0,uni,3.9024079658028517,2.701239096882635,1.949723154049933,3.2728211683736976,3.905605890851405,0.5056550714209154,0.41637117166311666,0.3888277286850978,15
37,uni15_3_5470.0,uni,3.8676130429511284,0.7857978305539849,0.5110129688480214,2.0436680400109686,3.906885861201875,0.4461752325778898,0.40765432736664703,0.2864930126199904,15
38,uni15_3_6230.0,uni,3.9010988697359386,3.2932968266394993,2.432544530753134,3.6285455832618276,3.906827771073077,0.480280290743835,0.39724507116807445,0.35003923972870604,15
39,uni15_3_7000.0,uni,3.89117381944682,2.6861865830969287,2.298810698859879,4.097422995771451,3.90688946285965,0.47001104237431685,0.43955001751155254,0.3221979189367389,15
40,uni15_4_100.0,uni,3.8860721052687457,3.994215901824979,4.001331006465128,0.05286657378446041,,0.5545199158018462,0.5977474052697147,0.321188426179182,15
41,uni15_4_1760.0,uni,3.8784706599475736,3.996237401920552,4.463042146087801,1.164912056994622,3.318092241092737,0.5239829963292341,0.6636618533384389,0.3485688324087651,15
42,uni15_4_3410.0,uni,3.9007646819530635,3.743703262063278,3.4075999472879483,2.133901885033887,3.8807548287080595,0.4645680588673403,0.4084515017687195,0.35628100560211484,15
43,uni15_4_5070.0,uni,3.8714866809605257,3.8044941336125344,3.483394518858365,2.9430496824871364,3.9042113697246537,0.4840315503891,0.4520789622483452,0.2928625574785722,15
44,uni15_4_6720.0,uni,3.87323822160268,3.063790463112662,2.4326127403747506,3.725268936682033,3.9068791842417556,0.4475058332000908,0.390482724956128,0.33655562635010644,15
45,uni15_4_8380.0,uni,3.8596458850923097,3.897913294590141,2.6399340871213397,3.858372206642106,3.9060693517343656,0.4479978369575822,0.34984776934959033,0.3010379588870207,15
46,uni15_4_10030.0,uni,3.8774145406936285,4.489492874081972,5.0298115439566295,5.93784465964574,3.9067540939219376,0.5637242329407084,0.593244755660642,0.3244164748613478,15
47,uni15_4_11690.0,uni,3.866824382342855,2.941235251630283,1.2666946753330386,7.205805517177275,3.906810494309238,0.4318613774703978,0.35579290826464666,0.32733431655509354,15
48,uni15_4_13340.0,uni,3.8550604447173864,2.747968150747794,1.6186746132180048,6.87174474748732,3.906860248247986,0.4050462022408165,0.3589936060024883,0.28022978596079884,15
49,uni15_4_15000.0,uni,3.8439619464792427,6.978526552222358,8.09898485556742,6.352913323760754,3.906518804628728,0.5978646252369687,0.6502551976270081,0.2970505590279277,15
50,uni15_5_100.0,uni,3.8654801468932583,4.996505999765804,5.015204752849981,0.05577483628588333,,0.5285557577704257,0.6413834822168418,0.3365437166413564,15
51,uni15_5_3530.0,uni,3.859643531765423,4.907546145985975,4.796354135624043,1.6167038125612856,3.5789651486890346,0.4664219734033786,0.4453390893077136,0.3065398222975084,15
52,uni15_5_6970.0,uni,3.8451265547283575,5.623892877955345,6.650452273858307,3.757967443650331,3.906221969228027,0.5634187181705744,0.6465934635459181,0.3044811498505766,15
53,uni15_5_10400.0,uni,3.869800010904635,6.521173353616927,8.972436941296372,7.003549717449795,3.90687182286132,0.5798099517297768,0.6993883579081472,0.34164963613580174,15
54,uni15_5_13830.0,uni,3.885035971039198,6.3166426561501945,8.912322349133095,8.73234698627001,3.906889417965026,0.5359606622851534,0.6336091179226757,0.32850748095206367,15
